"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2021","113.04","113.65","113.96","112.68","5.01M","-0.13%"
"04/07/2021","113.19","112.91","113.76","112.65","5.63M","0.04%"
"04/06/2021","113.15","111.38","113.82","111.10","6.75M","1.92%"
"04/05/2021","111.02","109.91","111.35","109.87","6.91M","1.50%"
"04/01/2021","109.38","110.06","110.06","108.20","5.79M","0.10%"
"03/31/2021","109.27","110.33","111.62","109.19","6.48M","-0.91%"
"03/30/2021","110.27","108.42","110.45","108.28","4.55M","1.04%"
"03/29/2021","109.13","109.01","110.25","106.59","5.17M","-0.70%"
"03/26/2021","109.90","107.25","110.00","107.18","6.17M","2.38%"
"03/25/2021","107.35","105.01","107.70","104.06","8.15M","2.27%"
"03/24/2021","104.97","106.63","107.28","104.94","5.73M","-1.20%"
"03/23/2021","106.25","107.74","107.95","105.67","5.66M","-1.23%"
"03/22/2021","107.57","106.40","108.42","106.00","7.61M","1.16%"
"03/19/2021","106.34","108.35","108.85","105.82","21.45M","-1.19%"
"03/18/2021","107.62","109.28","110.27","107.50","7.81M","-2.57%"
"03/17/2021","110.46","111.31","111.46","108.93","10.13M","-0.79%"
"03/16/2021","111.34","110.57","112.34","109.89","11.38M","2.24%"
"03/15/2021","108.90","107.89","108.95","107.06","7.11M","1.01%"
"03/12/2021","107.81","107.42","107.99","106.58","3.36M","0.46%"
"03/11/2021","107.32","108.41","108.57","107.26","4.67M","-0.43%"
"03/10/2021","107.78","107.22","109.07","106.96","6.08M","1.15%"
"03/09/2021","106.55","106.28","107.97","105.83","5.51M","1.45%"
"03/08/2021","105.03","104.80","106.89","104.23","5.12M","-0.16%"
"03/05/2021","105.20","106.06","106.06","102.75","5.56M","0.30%"
"03/04/2021","104.89","106.26","107.17","103.85","7.21M","-1.25%"
"03/03/2021","106.22","106.94","107.96","106.12","5.31M","-0.91%"
"03/02/2021","107.20","107.31","108.25","105.82","5.02M","0.31%"
"03/01/2021","106.87","108.60","110.47","106.54","7.93M","-1.07%"
"02/26/2021","108.03","104.15","109.48","103.68","15.12M","4.41%"
"02/25/2021","103.47","104.00","105.77","103.11","7.53M","-0.87%"
"02/24/2021","104.38","101.16","104.51","100.60","7.54M","2.97%"
"02/23/2021","101.37","103.34","103.34","99.93","8.74M","-0.43%"
"02/22/2021","101.81","102.99","102.99","101.75","5.21M","-1.51%"
"02/19/2021","103.37","104.75","105.28","103.22","4.13M","-1.52%"
"02/18/2021","104.97","103.78","105.34","103.41","4.10M","0.51%"
"02/17/2021","104.44","105.11","105.46","104.15","5.74M","-1.61%"
"02/16/2021","106.15","104.88","106.59","104.70","4.93M","0.81%"
"02/12/2021","105.30","105.74","105.94","104.72","3.17M","-0.53%"
"02/11/2021","105.86","106.11","106.23","105.03","2.98M","-0.01%"
"02/10/2021","105.87","106.78","106.90","104.93","4.29M","-0.33%"
"02/09/2021","106.22","106.00","106.83","105.22","4.10M","-0.04%"
"02/08/2021","106.26","106.42","106.53","105.34","4.84M","-0.21%"
"02/05/2021","106.48","105.09","107.54","104.78","8.07M","2.74%"
"02/04/2021","103.64","101.36","104.24","101.11","6.93M","2.59%"
"02/03/2021","101.02","101.25","102.65","100.81","3.93M","-0.62%"
"02/02/2021","101.65","99.05","102.48","98.78","6.92M","3.11%"
"02/01/2021","98.58","96.99","99.62","96.92","7.21M","1.83%"
"01/29/2021","96.81","97.39","97.79","95.92","8.20M","-1.37%"
"01/28/2021","98.15","98.93","100.53","98.10","8.87M","0.29%"
"01/27/2021","97.87","101.48","101.78","96.73","18.14M","-6.51%"
"01/26/2021","104.69","103.40","105.21","103.24","7.20M","1.20%"
"01/25/2021","103.45","103.75","103.95","102.17","5.01M","-0.44%"
"01/22/2021","103.91","104.16","104.47","103.06","5.23M","-0.64%"
"01/21/2021","104.58","105.46","105.49","104.45","5.73M","-0.83%"
"01/20/2021","105.46","102.41","105.85","102.20","5.84M","2.85%"
"01/19/2021","102.54","102.80","103.60","101.34","6.52M","0.21%"
"01/15/2021","102.33","101.38","102.69","101.21","5.52M","0.50%"
"01/14/2021","101.82","103.80","104.19","101.71","4.53M","-1.04%"
"01/13/2021","102.89","102.32","103.38","101.49","4.80M","0.07%"
"01/12/2021","102.82","104.01","104.32","102.31","4.33M","-1.70%"
"01/11/2021","104.60","105.10","105.64","104.27","4.26M","-1.01%"
"01/08/2021","105.67","103.86","105.76","103.42","5.87M","2.24%"
"01/07/2021","103.35","104.49","104.64","102.95","5.06M","-0.81%"
"01/06/2021","104.19","102.99","105.21","102.90","5.02M","0.73%"
"01/05/2021","103.44","102.92","104.26","102.80","5.72M","0.33%"
"01/04/2021","103.10","107.66","107.75","102.14","8.04M","-3.63%"
"12/31/2020","106.98","106.00","107.14","105.61","3.57M","0.95%"
"12/30/2020","105.97","105.99","106.62","105.78","3.65M","0.32%"
"12/29/2020","105.63","104.89","105.78","104.47","4.78M","1.24%"
"12/28/2020","104.34","102.92","104.38","102.31","5.06M","2.28%"
"12/24/2020","102.01","102.30","102.36","101.68","1.95M","-0.05%"
"12/23/2020","102.06","102.29","102.68","101.96","3.82M","-0.34%"
"12/22/2020","102.41","102.12","103.17","101.89","4.31M","-0.51%"
"12/21/2020","102.94","101.22","103.15","100.02","7.18M","-0.33%"
"12/18/2020","103.28","103.33","104.11","102.95","10.21M","0.07%"
"12/17/2020","103.21","103.55","104.04","102.61","4.54M","-0.06%"
"12/16/2020","103.27","104.10","104.80","102.72","6.41M","-0.87%"
"12/15/2020","104.18","104.24","104.86","103.78","5.20M","0.83%"
"12/14/2020","103.32","103.83","104.71","103.25","5.16M","0.31%"
"12/11/2020","103.00","104.40","104.78","102.33","6.26M","-2.27%"
"12/10/2020","105.39","103.51","106.09","102.75","12.94M","4.97%"
"12/09/2020","100.40","101.94","102.21","100.10","6.63M","-0.80%"
"12/08/2020","101.21","100.37","101.57","100.01","3.91M","-0.20%"
"12/07/2020","101.41","102.01","102.22","100.69","4.51M","-0.85%"
"12/04/2020","102.28","101.35","102.94","101.07","6.95M","2.17%"
