,date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
3124691,2020/12/18 00:00:00+00,2020,12,18,port812,New Orleans,United States,USA,2,6,1,0,4,9,13,0.0,912.686259958646,0.0,0.0,0.0,912.686259958646,912.686259958646,13152.4810378157,146253.984806059,914.25809770075,0.0,32349.0711943554,160320.723941576,192669.795135931,3124692
3124696,2020/12/19 00:00:00+00,2020,12,19,port812,New Orleans,United States,USA,2,6,1,0,8,9,17,4006.7881522903,45564.2068808783,0.0,0.0,3879.9669462087,49570.9950331686,53450.9619793773,6684.51475929619,64133.7416417354,1389.91466143715,0.0,64626.3472781852,72208.1710624687,136834.518340654,3124697
3124701,2020/12/20 00:00:00+00,2020,12,20,port812,New Orleans,United States,USA,2,7,3,0,7,12,19,0.0,1103.55448864759,2762.24904959163,0.0,660.473363493892,3865.80353823922,4526.27690173311,28746.5681158062,122092.075598017,6705.29565583044,0.0,76654.9485920747,157543.939369653,234198.887961728,3124702
3124711,2020/12/21 00:00:00+00,2020,12,21,port812,New Orleans,United States,USA,2,4,1,0,5,7,12,2546.57412604141,0.0,0.0,0.0,13331.6314597921,2546.57412604141,15878.2055858335,9938.38707835482,130779.633131512,914.25809770075,0.0,17433.5607313806,141632.278307568,159065.839038949,3124712
3124716,2020/12/22 00:00:00+00,2020,12,22,port812,New Orleans,United States,USA,2,6,1,0,5,9,14,0.0,76855.8883596118,0.0,0.0,3141.87251270163,76855.8883596118,79997.7608723134,9086.13923412151,81241.2136178924,16898.2905157774,0.0,35150.2972302963,107225.643367791,142375.940598088,3124717
3124721,2020/12/23 00:00:00+00,2020,12,23,port812,New Orleans,United States,USA,3,3,4,0,4,10,14,1665.76215857312,15590.400814599,4612.88373304843,0.0,3498.97070964042,21869.0467062206,25368.017415861,14219.0530909896,18674.3089590284,8363.02152312369,0.0,9115.39128535904,41256.3835731417,50371.7748585007,3124722
3124726,2020/12/24 00:00:00+00,2020,12,24,port812,New Orleans,United States,USA,1,7,2,0,4,10,14,0.0,32995.4146351269,0.0,0.0,44660.1576723032,32995.4146351269,77655.5723074301,5410.93896793904,38167.2442345623,24235.8878641495,0.0,21221.8524896965,67814.0710666509,89035.9235563474,3124727
3124731,2020/12/25 00:00:00+00,2020,12,25,port812,New Orleans,United States,USA,2,2,0,0,4,4,8,0.0,0.0,0.0,0.0,8127.6768045573,0.0,8127.6768045573,3442.86216238501,47863.2931843588,0.0,0.0,447.405735370172,51306.1553467438,51753.561082114,3124732
3124752,2020/12/26 00:00:00+00,2020,12,26,port812,New Orleans,United States,USA,1,9,3,0,5,13,18,0.0,0.0,23805.5826278649,0.0,1182.69001340142,23805.5826278649,24988.2726412663,5243.39879326208,163363.97681688,16845.4464273873,0.0,43479.3365372536,185452.822037529,228932.158574783,3124753
3124754,2020/12/27 00:00:00+00,2020,12,27,port812,New Orleans,United States,USA,0,9,1,0,4,10,14,0.0,23333.4683143809,0.0,0.0,0.0,23333.4683143809,23333.4683143809,0.0,170638.62132955,1388.50257946788,0.0,34603.5230367577,172027.123909018,206630.646945776,3124755
